#      HRS         e              PA       FUV_asy       eFUV_asy     FUV_D25       eFUV_D25     NUV_asy       eNUV_asy     NUV_D25       eNUV_D25     g_asy         eg_asy       g_D25         eg_D25       r_asy         er_asy       r_D25         er_D25       i_asy         ei_asy       i_D25         ei_D25         log(M*)
       296         0.14           11       18.050        0.069        18.084        0.087        16.492        0.038        16.563        0.038        12.080        0.030        12.165        0.031        11.367        0.020        11.439        0.020        10.979        0.032        11.058        0.032           9.95   
       297         0.73          -29       15.658        0.050        15.667        0.051        15.018        0.030        15.049        0.030        12.377        0.030        12.407        0.030        11.754        0.020        11.790        0.021        11.373        0.031        11.415        0.036           9.99   
       298         0.35           81       15.267        0.053        15.395        0.057        14.917        0.030        15.014        0.032        13.043        0.030        13.101        0.032        12.648        0.020        12.708        0.023        12.431        0.031        12.508        0.032           9.11   
       299         0.35          -29       14.527        0.051        14.581        0.052        14.325        0.030        14.348        0.031        12.103        0.031        12.134        0.032        11.595        0.022        11.634        0.024        11.267        0.032        11.307        0.044           9.63   
       300         0.70           83        ...          ...           ...          ...          18.032        0.043        18.193        0.051        13.899        0.034        14.045        0.033        13.195        0.026        13.284        0.022        12.770        0.032        12.865        0.031           9.47   
       301         0.30           12       14.599        0.051        14.712        0.053        14.356        0.030        14.400        0.032        12.057        0.030        12.131        0.032        11.560        0.020        11.633        0.022        11.239        0.031        11.336        0.034           9.75   
       302         0.81           -2       16.493        0.050        16.519        0.050        16.040        0.030        16.071        0.031        13.584        0.030        13.624        0.032        13.038        0.020        13.088        0.022        12.732        0.031        12.790        0.035           9.24   
       303         0.20          -51       15.958        0.159        16.078        0.059        15.470        0.030        15.598        0.034        13.546        0.031        13.660        0.037        13.071        0.021        13.190        0.030        12.833        0.030        12.973        0.039           9.23   
       304         0.72           16       17.550        0.050        17.610        0.051        16.709        0.031        16.840        0.031        12.961        0.030        13.104        0.031        12.208        0.021        12.340        0.022        11.719        0.032        11.884        0.032          10.01   
       305         0.59           67       17.849        0.050        17.859        0.051        17.231        0.031        17.275        0.031        14.095        0.036        14.215        0.048        13.381        0.102        13.613        0.035        13.051        0.061        13.263        0.043           9.13   
       306         0.34          -48       16.855        0.055        17.032        0.052        15.515        0.154        15.731        0.034        10.453        0.032        10.738        0.031         9.705        0.023         9.978        0.021         9.260        0.032         9.513        0.031          10.78   
       307         0.35           34       13.855        0.050        13.888        0.050        13.431        0.030        13.463        0.030        10.858        0.031        10.920        0.035        10.318        0.023        10.365        0.027         9.975        0.031        10.027        0.037          10.25   
       308         0.65          -52       18.809        0.051        18.925        0.052        17.994        0.031        18.268        0.038        14.928        0.030        15.087        0.040        14.285        0.021        14.467        0.034        13.968        0.030        14.157        0.041           8.61   
       309         0.39           73       15.581        0.050        15.612        0.051        15.271        0.030        15.299        0.031        13.648        0.031        13.688        0.032        13.321        0.021        13.354        0.022        13.135        0.032        13.168        0.034           8.70   
       310         0.60          -68       16.260        0.050        16.296        0.051        15.683        0.031        15.735        0.033        12.736        0.031        12.834        0.031        12.088        0.022        12.189        0.021        11.735        0.030        11.820        0.031           9.94   
       311         0.65           32       16.040        0.050        16.063        0.053        15.293        0.032        15.322        0.038        11.045        0.032        11.094        0.036        10.268        0.021        10.317        0.023         9.828        0.031         9.883        0.032          10.81   
       312         0.29          -90       18.008        0.100        18.191        0.093        15.948        0.058        16.188        0.061        11.204        0.039        11.403        0.033        10.478        0.023        10.669        0.021        10.079        0.033        10.270        0.031          10.60   
       313         0.71           55       16.058        0.050        16.069        0.051        15.575        0.030        15.602        0.031        12.909        0.031        12.965        0.034        12.301        0.023        12.366        0.023        11.980        0.031        12.047        0.033           9.64   
       314         0.54          -21       14.804        0.050        14.966        0.051        14.465        0.030        14.648        0.032        12.849        0.031        13.053        0.033        12.520        0.021        12.728        0.024        12.299        0.040        12.547        0.037           9.07   
       315         0.90           70       15.786        0.051        15.856        0.055        15.427        0.031        15.487        0.033        13.741        0.030        13.843        0.031        13.390        0.021        13.502        0.022        13.193        0.032        13.318        0.036           8.76   
       316         0.13           -3       18.472        0.062        18.469        0.099        16.771        0.051        16.871        0.059        11.797        0.032        11.924        0.031        11.048        0.025        11.190        0.022        10.638        0.038        10.768        0.034          10.52   
       317         0.65          -20       17.153        0.051        17.307        0.055        16.788        0.032        16.975        0.037        14.634        0.030        14.748        0.037        14.138        0.022        14.248        0.029        13.803        0.032        13.952        0.040           8.94   
       318         0.43           80       14.831        0.050        14.864        0.050        14.367        0.030        14.414        0.030        12.380        0.031        12.500        0.032        11.939        0.021        12.080        0.022        11.698        0.031        11.863        0.033           9.43   
       319         0.26           63       14.001        0.050        14.063        0.052        13.720        0.030        13.770        0.031        12.060        0.031        12.103        0.037        11.687        0.023        11.730        0.034        11.444        0.033        11.503        0.037           9.47   
       320         0.07            0       13.965        0.050        14.068        0.050        13.662        0.030        13.753        0.031        11.917        0.031        12.011        0.032        11.521        0.022        11.634        0.022        11.334        0.037        11.446        0.038           9.60   
       321         0.33           38       15.607        0.050        15.679        0.052        15.249        0.030        15.333        0.032        13.326        0.030        13.402        0.032        12.918        0.021        12.986        0.024        12.687        0.031        12.783        0.034           9.11   
       322         0.05           84       15.530        0.052        15.673        0.056        15.156        0.033        15.265        0.041        11.512        0.030        11.595        0.031        10.835        0.021        10.906        0.023        10.412        0.032        10.480        0.036          10.45   
       323         0.65          -17       17.357        0.050        17.538        0.054        16.593        0.030        16.753        0.034        13.276        0.031        13.380        0.032        12.556        0.022        12.659        0.022        12.134        0.033        12.246        0.032           9.88   
